gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
fgenesh1_kg.12__183__Locus432v1rpkm387.16	588.740470741725	3.86140300351432	0.120845850765409	31.9531285439848	4.88813316563613e-224	3.28629192725717e-220
estExt_Genemark1.C_130215	386.050517853858	5.25701606456304	0.195092216272811	26.9463137227976	6.30090260107311e-160	2.11804840935073e-156
fgenesh1_kg.7__381__Locus862v1rpkm207.81	222.891461264832	6.19791175894947	0.331883585447336	18.6749572160837	7.91533382325764e-78	1.77382630979204e-74
fgenesh1_kg.23__105__Locus2331v1rpkm69.56	143.510481363711	-3.02321142556491	0.183253118084974	-16.4974624015022	3.82637863292914e-61	6.43118588729566e-58
fgenesh1_kg.21__184__Locus30v1rpkm2293.91	609.87663503331	-1.45414785045855	0.0890014887525981	-16.338466590157	5.25581506584738e-60	7.06696893753838e-57
e_gw1.29.217.1	147.326041701551	2.2381009881171	0.160548290506887	13.9403601312161	3.60118512518339e-44	4.03512793276799e-41
fgenesh1_kg.4__706__Locus684v1rpkm262.26	202.233358244282	-1.64845282761968	0.133849610234574	-12.3157088371847	7.45572021651405e-35	7.16068671651771e-32
fgenesh1_kg.2__1021__Locus560v1rpkm310.43	86.4528498134519	-2.5072471614496	0.210382954118772	-11.9175394791449	9.5899035641293e-33	8.05911520770516e-30
gm1.3215_g	54.3688145819762	3.36279965624243	0.30186620359597	11.14003361815	8.00891112117139e-29	5.98265660751503e-26
fgenesh1_kg.2__456__Locus1097v1rpkm159.38	109.627694204945	1.90237732238033	0.17707901082356	10.7430988773471	6.38640494458589e-27	4.29358004424509e-24
estExt_Genewise1.C_11_t20410	55.0821551902949	-2.96094864845679	0.27698951737031	-10.6897498380716	1.1367717716484e-26	6.94774238253838e-24
fgenesh1_pm.4__324	191.900876293877	-1.39159547026655	0.131209874748639	-10.6058745420835	2.79833594692228e-26	1.56776771426321e-23
e_gw1.3.448.1	88.5643611043732	1.98017811567086	0.197470226972068	10.0277299825607	1.1513306597085e-23	5.95415078863098e-21
estExt_Genewise1Plus.C_11_t20132	51.4867180918865	-2.53496260725914	0.269069475785372	-9.42121955625019	4.45878657055027e-21	2.14117300812925e-18
CE426122_60072	57.4495508731991	2.24044499855055	0.240319249909908	9.32278624950131	1.13324502790723e-20	4.76175395163767e-18
fgenesh1_pm.8__321	135.957396846108	-1.44101249757059	0.154493883651232	-9.32731098160269	1.0859087791079e-20	4.76175395163767e-18
estExt_Genewise1Plus.C_200359	49.2805460657678	-2.44012660078271	0.262353983987817	-9.3008940199514	1.39269655488e-20	5.5077052579166e-18
CE464077_1844	201.521173128487	10.2005301770841	1.10299178470429	9.24805634868701	2.28611818243124e-20	8.53865141138069e-18
CE321763_162841	1003.53870294354	-0.672844411977551	0.0731342034243144	-9.20013318629864	3.57506367098632e-20	1.26500805579163e-17
e_gw1.9.625.1	409.316966120883	-0.877410774095749	0.096165809062326	-9.12393690284548	7.24437488814152e-20	2.43519661864877e-17
fgenesh1_kg.5__588__Locus1752v1rpkm96.70	90.1846204337219	1.66723428910383	0.184657717366467	9.02878207789755	1.73592978425676e-19	5.55745520931344e-17
fgenesh1_pm.8__343	62.7138385087001	-2.06190025245628	0.236445236196285	-8.72041359608782	2.77187400532436e-18	8.47059497172531e-16
CE77058_3989	33.5741875225128	-3.00400139776032	0.349806694889264	-8.58760407290454	8.88016722218603e-18	2.59571148846768e-15
CE295976_127029	170.20209629181	-1.1693899000423	0.138846949431188	-8.42215046735215	3.69635910664868e-17	1.03544259474996e-14
fgenesh1_kg.2__557__Locus50v1rpkm1778.79	84.0796543647595	1.57621470665385	0.19580152880182	8.05006332840848	8.27512067413163e-16	2.22534545168748e-13
CE328114_3823	29.6574985910237	5.06460811459804	0.632223540319056	8.0107869948059	1.13976706549175e-15	2.94717460819272e-13
fgenesh1_pg.4__105	84.1637005190009	-1.52397279090502	0.190805889458214	-7.98703224115503	1.38225950543408e-15	3.44182616853086e-13
fgenesh1_kg.15__190__Locus707v1rpkm253.17	253.306172247129	-0.932230987059187	0.117320538334693	-7.94601695740355	1.92604071173468e-15	4.62456132321151e-13
fgenesh1_kg.7__409__Locus2683v1rpkm58.15	47.2694044054247	1.9778401109901	0.251250973418815	7.87196994334904	3.49100044581804e-15	8.09310206801196e-13
e_gw1.51.88.1	165.97986511416	-1.15303344895726	0.146998607557081	-7.84383925888231	4.3697638641818e-15	9.79264081963142e-13
estExt_Genewise1Plus.C_7_t10189	139.163651169601	1.13177080366302	0.145772223371607	7.76396749316142	8.23130038463685e-15	1.78513008019076e-12
fgenesh1_kg.10__4__Locus4196v1rpkm30.86	25.3589550880045	3.23438262972893	0.421827658657139	7.66754517715924	1.7531928159008e-14	3.68334853165659e-12
fgenesh1_pm.3__150	24.1975731780727	-3.20433182791416	0.430020956333962	-7.45157132627187	9.22350035025408e-14	1.87907857135631e-11
MIX23919_29999_58	124.198549256793	-1.15840262076076	0.156774771458891	-7.38896067256914	1.47980925055798e-13	2.92610517397098e-11
estExt_fgenesh1_pm.C_250094	680.647665688231	0.670706701852951	0.0913263981345476	7.34406169029928	2.07207542959883e-13	3.98016088948369e-11
gm1.3386_g	137.371684779814	-1.11617818287736	0.152385615876278	-7.32469515878447	2.3944237476071e-13	4.47158634865625e-11
fgenesh1_kg.19__90__Locus391v1rpkm421.85	181.567522613271	1.01578527429717	0.13912300507634	7.30134655831926	2.84901861858281e-13	5.17674383046817e-11
fgenesh1_pm.1__688	28.5057109622028	2.52554479057368	0.347826158381852	7.26093978188115	3.84410066627921e-13	6.80102336299872e-11
e_gw1.11.105.1	139.754652071122	-1.07210165451379	0.14834101660325	-7.22727724983314	4.92773452598206e-13	8.28228980454434e-11
fgenesh1_kg.6__165__Locus2857v1rpkm53.49	22.3546028895509	3.38253610063532	0.467993936156188	7.22773488993761	4.91116241690141e-13	8.28228980454434e-11
estExt_Genewise1Plus.C_7_t10373	92.3417744322008	-1.27335995132003	0.181145647864829	-7.02948133907261	2.07302674886599e-12	3.39925825186001e-10
fgenesh1_kg.26__139__Locus812v1rpkm223.01	41.9434540264477	1.90497392376725	0.272344810011197	6.99471351662227	2.65801497912855e-12	4.25472254873363e-10
fgenesh1_kg.12__269__Locus2377v1rpkm67.83	80.478460461158	-1.29964184983982	0.185898308329867	-6.99114403738238	2.72653654094845e-12	4.26290817785964e-10
e_gw1.67.13.1	32.1026675998825	-2.24610420845279	0.322715335324504	-6.96001696415895	3.40231766457569e-12	4.97256123020486e-10
fgenesh1_kg.44__43__Locus9709v1rpkm4.79	23.0452209127496	-5.34446700300582	0.767260811287949	-6.96564574181031	3.2690080271093e-12	4.97256123020486e-10
fgenesh1_kg.4__520__Locus6927v1rpkm12.28	20.1519165953275	4.54826151454643	0.653258079673133	6.9624267285331	3.34460564739668e-12	4.97256123020486e-10
fgenesh1_kg.3__712__Locus4249v2rpkm4.60	92.1553499320912	-1.23190445419524	0.17867021319787	-6.89485075405913	5.39213832719961e-12	7.71305233484318e-10
estExt_Genemark1.C_310025	50.8466144451923	-1.59882237434995	0.232219738144934	-6.88495468611755	5.78059324985941e-12	8.09644342058433e-10
gm1.7937_g	40.9286110788068	1.81186983311909	0.265087476195515	6.83498843145179	8.20116466902613e-12	1.12523326673189e-09
e_gw1.2.159.1	24.4156928837024	-2.66004223263333	0.391257860370727	-6.79869339906137	1.05572221847497e-11	1.41952409496145e-09
fgenesh1_pm.13__269	23.5528622876578	-2.70437072998712	0.39909645457699	-6.77623341167873	1.23349343523701e-11	1.62603458139185e-09
fgenesh1_kg.3__361__Locus223v1rpkm649.84	86.7388526451182	-1.21326957875225	0.179958821718664	-6.74192888775968	1.56297581886292e-11	2.02074739042603e-09
estExt_Genewise1.C_330077	43.3855778396204	-1.73647963790176	0.257934992565818	-6.73223753251958	1.67073592958539e-11	2.11931276501936e-09
estExt_Genewise1Plus.C_300030	21.1811473553795	2.90403640955654	0.433511141085115	6.69887376432239	2.10031926357373e-11	2.61489748314929e-09
gw1.3.389.1	21.2765785874183	-2.95171114263287	0.442193136211341	-6.67516273075332	2.46957980805741e-11	3.01872455446727e-09
fgenesh1_pm.14__200	24.1656447738106	-2.48727078633942	0.374990690154403	-6.6328867666429	3.2918434310089e-11	3.951975604763e-09
fgenesh1_kg.9__154__Locus1960v1rpkm84.73	25.5937477300441	-2.46416905897528	0.377883417196446	-6.52097696495175	6.98509128480453e-11	8.23873135223524e-09
estExt_Genewise1Plus.C_5_t30220	27.3489174031982	2.20069380678617	0.337791804919044	6.51494137731849	7.2718052201737e-11	8.38587547304394e-09
gm1.12252_g	24.4871809695334	-2.45113192346403	0.37633611967494	-6.51314555079432	7.35931359377647e-11	8.38587547304394e-09
estExt_Genewise1.C_14_t10212	96.4701841373721	-1.11030271560974	0.170904154180941	-6.49663971558136	8.21338387409378e-11	9.20309663092208e-09
e_gw1.6.294.1	25.7459154334691	6.43790217398657	1.00530651514413	6.40391967723751	1.51437803436523e-10	1.66904320082581e-08
e_gw1.12.698.1	17.5456344395153	3.41531575760162	0.538224588163455	6.3455216144165	2.21673070416299e-10	2.40372266517544e-08
gm1.10444_g	22.8209928910399	-6.36203028548861	1.00347893011697	-6.33997395914133	2.29804001270507e-10	2.4523369849867e-08
fgenesh1_kg.16__134__Locus3058v1rpkm48.86	33.604635929255	1.88347825259872	0.298062520762041	6.31907107201311	2.63140244022439e-10	2.76420603212947e-08
gm1.6046_g	46.8647105185268	1.62934945326758	0.259189060870514	6.28633572649725	3.25046618500513e-10	3.36198217873684e-08
fgenesh1_kg.8__496__Locus9445v1rpkm5.19	19.3782311983347	-2.93772579481284	0.46951833092346	-6.25689265216729	3.92723531484877e-10	4.00042470026186e-08
fgenesh1_kg.6__217__Locus24495v1rpkm0.61	60.1395361721347	1.33276891326613	0.213410194575974	6.24510425059224	4.23517543269265e-10	4.24971409462578e-08
fgenesh1_kg.12__304__Locus1860v1rpkm89.38	36.716457661602	-1.74280922614727	0.279894054662301	-6.22667469035744	4.76438941044268e-10	4.71043970682443e-08
CE305710_3437	76.149781215618	-1.16951557317703	0.188016127607965	-6.2202939080609	4.96224469577858e-10	4.83495233184339e-08
estExt_Genewise1.C_670016	36.7850568262977	-1.7639375715714	0.284400057048725	-6.2023108921852	5.56400240723811e-10	5.34382688340883e-08
fgenesh1_kg.4__3__Locus1778v1rpkm94.74	43.6760887841769	-1.55580298709682	0.251036193255827	-6.19752461554944	5.73580704850192e-10	5.43124377282795e-08
fgenesh1_kg.24__113__Locus5877v1rpkm17.57	18.671258863115	-2.75945674355851	0.449856029980541	-6.13408859647358	8.5648779873132e-10	7.9974548206537e-08
fgenesh1_pm.51__14	331.089975778372	0.652934546150286	0.108183757712485	6.03542121254062	1.58548572580758e-09	1.46016719652114e-07
fgenesh1_kg.46__86__Locus4286v1rpkm29.93	25.5678526410847	-2.06396089770422	0.342143796781571	-6.03243699613786	1.61505319093359e-09	1.46729764900629e-07
fgenesh1_kg.51__81__Locus5699v2rpkm17.86	122.504936130817	-0.903021962170685	0.150308997266358	-6.00777051669413	1.88091810024673e-09	1.68605498506117e-07
e_gw1.5.1757.1	18.4670897040397	2.69479763196172	0.449049260313869	6.0011180735008	1.95963419628173e-09	1.73350272389501e-07
fgenesh1_kg.13__224__Locus9798v1rpkm4.67	21.722367760298	-2.25940432767651	0.384897174908938	-5.87015045826477	4.35399823977218e-09	3.80154937220628e-07
fgenesh1_kg.74__28__Locus758v1rpkm236.43	47.6045388580251	-1.39254274460267	0.237792896500734	-5.85611582639673	4.73817826087077e-09	4.08394518561977e-07
fgenesh1_kg.1__1110__Locus131v1rpkm986.99	130.342022783204	0.847405556265714	0.147036825090342	5.76321989913106	8.25241592817111e-09	7.02291041583473e-07
e_gw1.51.23.1	36.7648503481745	-1.59466826929685	0.277900133756819	-5.73827816395474	9.56439355509343e-09	7.97798542681793e-07
fgenesh1_kg.9__558__Locus13194v5rpkm0.28	14.1196027825889	3.44844617179186	0.60104302309551	5.73743648837577	9.6120306347204e-09	7.97798542681793e-07
fgenesh1_kg.3__452__Locus900v1rpkm197.98	83.5853131109633	-1.07374763449452	0.187570868115451	-5.72449040345447	1.03744671614703e-08	8.5057978934835e-07
MIX24039_2229_61	14.733263696795	-3.03638269536982	0.531280240344582	-5.71521856977112	1.09563107035012e-08	8.87461166983597e-07
gm1.9084_g	54.0177784254851	-1.28031619003986	0.224321490629848	-5.70750571621559	1.14643771927834e-08	9.17559617465271e-07
fgenesh1_kg.8__503__Locus700v1rpkm255.24	38.7284679543873	-1.51350678956264	0.265574877303571	-5.69898329589586	1.20524032844694e-08	9.53274203311624e-07
e_gw1.3.786.1	41.2693430384004	1.45725399612208	0.256452160678667	5.68236193551905	1.3284714777238e-08	1.0385248540392e-06
fgenesh1_kg.30__23__Locus16886v3rpkm0.66	13.1930443580494	3.52995205505895	0.636973722012202	5.54175460159929	2.99455773839737e-08	2.31407030749948e-06
estExt_Genewise1.C_5_t20305	195.26063644346	-0.696673610348546	0.125820760420874	-5.53703226731544	3.07639890629388e-08	2.35029884625157e-06
fgenesh1_kg.23__125__Locus2619v1rpkm59.90	27.0431057300111	-1.78824793088554	0.323319857576704	-5.53089421815453	3.18602421598964e-08	2.40670121394364e-06
estExt_Genewise1.C_10_t10057	59.4994478310808	-1.17129391861175	0.211895918505617	-5.5276851336837	3.2448373740034e-08	2.42389351838054e-06
fgenesh1_kg.23__143__Locus2327v1rpkm69.61	32.8439811451825	-1.66720453607344	0.301962499738492	-5.52123040946237	3.36634002740927e-08	2.48702241805192e-06
gm1.12003_g	66.2314970356985	-1.08345196416818	0.196928093909727	-5.50176433772235	3.7600933177521e-08	2.74772906252689e-06
estExt_Genemark1.C_430071	46.1078735821948	-1.3357533139998	0.243118322799534	-5.49425192893096	3.92370037528406e-08	2.83645565839084e-06
estExt_Genewise1Plus.C_2_t30286	27.0422818113782	-1.77674402648471	0.326202338513299	-5.44675441194692	5.12972122863543e-08	3.66884210852298e-06
fgenesh1_kg.3__69__Locus2224v1rpkm73.81	40.6530350848287	1.4626163205033	0.268672602233046	5.44386107234943	5.21378894210321e-08	3.68971611134314e-06
CE442950_874	19.2750002537797	-2.2126451429202	0.406743729419206	-5.43989982606411	5.3310538308244e-08	3.73340363589921e-06
estExt_fgenesh1_pm.C_2_t10131	79.8506710132639	1.00059766966974	0.185658169442029	5.38946211026911	7.06688767810901e-08	4.89800885153885e-06
estExt_Genewise1Plus.C_430030	12.5500792689498	-6.16779007660293	1.14535151954656	-5.38506298838693	7.24192829580935e-08	4.96811060538023e-06
fgenesh1_kg.9__299__Locus1033v1rpkm171.63	61.1339344466282	-1.09110874318153	0.203932048806354	-5.35035444192297	8.77821336005246e-08	5.96120489087199e-06
